* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 68820209
* Experiment Comments = CSF set 1 B
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1B\2011-11-01CSFMEC029B.eds
* Experiment Name = 2011-11-01CSFMEC029B
* Experiment Run End Time = 2011-11-01 19:17:28 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = AW
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-miR-30a*-4373062	23.066	0.200	3	16	N
2	hsa-miR-30e*-4373057	23.167	0.200	3	15	N
3	hsa-miR-34b*-4373037	31.253	0.200	3	23	N
4	hsa-miR-126*-4373269	Undetermined	0.200	3	39	N
5	hsa-miR-154*-4378065	29.998	0.200	3	24	N
6	hsa-miR-182*-4378066	30.527	0.200	3	23	N
7	hsa-miR-181a*-4373086	32.728	0.200	3	25	N
8	hsa-miR-302c*-4373277	Undetermined	0.200	3	39	N
9	hsa-miR-373*-4373279	Undetermined	0.200	3	39	N
10	hsa-miR-378*-4373024	28.397	0.200	3	18	N
11	MammU6-4395470	27.143	0.200	3	21	N
12	MammU6-4395470	26.968	0.200	3	20	N
13	hsa-miR-380*-4373021	25.712	0.200	3	18	N
14	hsa-miR-200a*-4373273	30.729	0.200	3	24	N
15	hsa-miR-432*-4378076	36.314	0.200	3	26	N
16	hsa-miR-493*-4373218	Undetermined	0.200	3	39	Y
17	hsa-miR-500*-4373225	35.673	0.200	3	26	N
18	hsa-miR-488*-4373213	26.448	0.200	3	19	N
19	hsa-miR-517*-4378078	Undetermined	0.200	3	39	N
20	hsa-miR-518c*-4378082	38.637	0.200	3	28	N
21	hsa-miR-519e*-4378084	Undetermined	0.200	3	39	Y
22	hsa-let-7d*-4378108	Undetermined	0.200	3	39	Y
23	hsa-miR-363*-4380917	36.478	0.200	3	27	N
24	hsa-miR-7-1*-4381118	33.492	0.200	3	23	N
25	hsa-miR-589*-4380953	27.647	0.200	3	21	N
26	hsa-miR-550*-4380954	Undetermined	0.200	3	39	Y
27	hsa-miR-593*-4380957	26.646	0.200	3	20	N
28	hsa-miR-624*-4380964	33.959	0.200	3	24	N
29	hsa-miR-629*-4380969	31.723	0.200	3	23	N
30	hsa-miR-616*-4380992	32.320	0.200	3	24	N
31	hsa-miR-29c*-4381131	38.324	0.200	3	28	N
32	hsa-miR-454*-4395185	38.003	0.200	3	28	N
33	hsa-miR-505*-4395198	32.985	0.200	3	26	N
34	hsa-miR-221*-4395207	Undetermined	0.200	3	39	Y
35	MammU6-4395470	26.907	0.200	3	20	N
36	MammU6-4395470	26.856	0.200	3	20	N
37	hsa-miR-222*-4395208	28.616	0.200	3	21	N
38	hsa-miR-223*-4395209	26.624	0.200	3	20	N
39	hsa-miR-136*-4395211	32.353	0.200	3	24	N
40	hsa-miR-185*-4395215	34.310	0.200	3	25	N
41	hsa-miR-186*-4395216	Undetermined	0.200	3	39	N
42	hsa-miR-195*-4395218	Undetermined	0.200	3	39	N
43	hsa-miR-30c-1*-4395219	Undetermined	0.200	3	39	Y
44	hsa-miR-30c-2*-4395221	Undetermined	0.200	3	39	Y
45	hsa-miR-32*-4395222	Undetermined	0.200	3	39	Y
46	hsa-miR-130b*-4395225	Undetermined	0.200	3	39	N
47	hsa-miR-26a-2*-4395226	34.898	0.200	3	27	N
48	hsa-let-7g*-4395229	Undetermined	0.200	3	31	N
49	hsa-miR-302b*-4395230	31.021	0.200	3	24	N
50	hsa-miR-302d*-4395231	31.876	0.200	3	24	N
51	hsa-miR-367*-4395232	Undetermined	0.200	3	39	Y
52	hsa-miR-374a*-4395236	33.467	0.200	3	26	N
53	hsa-miR-23b*-4395237	Undetermined	0.200	3	39	N
54	hsa-miR-376a*-4395238	38.980	0.200	3	31	N
55	hsa-miR-377*-4395239	38.168	0.200	3	28	N
56	hsa-miR-30b*-4395240	Undetermined	0.200	3	39	Y
57	hsa-miR-122*-4395241	Undetermined	0.200	3	32	N
58	hsa-miR-130a*-4395242	37.457	0.200	3	27	N
59	RNU48-4373383	28.764	0.200	3	23	N
60	RNU48-4373383	28.706	0.200	3	23	N
61	hsa-miR-132*-4395243	Undetermined	0.200	3	39	N
62	hsa-miR-379*-4395244	36.064	0.200	3	26	N
63	hsa-miR-148a*-4395245	Undetermined	0.200	3	29	N
64	hsa-miR-33a*-4395247	29.709	0.200	3	22	N
65	hsa-miR-92a-1*-4395248	31.341	0.200	3	25	N
66	hsa-miR-92a-2*-4395249	35.304	0.200	3	27	N
67	hsa-miR-93*-4395250	28.849	0.200	3	22	N
68	hsa-miR-96*-4395251	Undetermined	0.200	3	39	Y
69	hsa-miR-99a*-4395252	31.803	0.200	3	21	N
70	hsa-miR-100*-4395253	Undetermined	0.200	3	32	N
71	hsa-miR-101*-4395254	Undetermined	0.200	3	39	N
72	hsa-miR-138-2*-4395255	35.094	0.200	3	19	N
73	hsa-miR-141*-4395256	35.761	0.200	3	26	N
74	hsa-miR-143*-4395257	Undetermined	0.200	3	39	N
75	hsa-miR-144*-4395259	34.702	0.200	3	26	N
76	hsa-miR-145*-4395260	31.056	0.200	3	24	N
77	hsa-miR-125b-2*-4395269	Undetermined	0.200	3	39	N
78	hsa-miR-135b*-4395270	24.006	0.200	3	15	N
79	hsa-miR-148b*-4395271	38.264	0.200	3	31	N
80	hsa-miR-138-1*-4395273	24.593	0.200	3	17	N
81	hsa-miR-146a*-4395274	Undetermined	0.200	3	39	Y
82	hsa-miR-149*-4395275	Undetermined	0.200	3	39	N
83	RNU48-4373383	28.814	0.200	3	23	N
84	RNU48-4373383	29.293	0.200	3	23	N
85	hsa-miR-29b-1*-4395276	Undetermined	0.200	3	39	Y
86	hsa-miR-29b-2*-4395277	37.121	0.200	3	27	N
87	hsa-miR-105*-4395279	34.986	0.200	3	27	N
88	hsa-miR-106a*-4395281	36.544	0.200	3	27	N
89	hsa-miR-16-2*-4395282	Undetermined	0.200	3	39	N
90	hsa-let-7i*-4395283	Undetermined	0.200	3	39	N
91	hsa-miR-15b*-4395284	Undetermined	0.200	3	39	N
92	hsa-miR-27b*-4395285	34.040	0.200	3	24	N
93	hsa-miR-335*-4395296	Undetermined	0.200	3	24	N
94	hsa-miR-99b*-4395307	28.135	0.200	3	21	N
95	hsa-miR-124*-4395308	Undetermined	0.200	3	29	N
96	hsa-miR-541*-4395311	Undetermined	0.200	3	29	N
97	hsa-miR-888*-4395324	Undetermined	0.200	3	39	Y
98	hsa-miR-9*-4395342	29.198	0.200	3	23	N
99	hsa-miR-135a*-4395343	19.762	0.200	3	14	N
100	hsa-miR-411*-4395349	27.699	0.200	3	21	N
101	hsa-miR-340*-4395370	26.855	0.200	3	21	N
102	hsa-miR-545*-4395377	Undetermined	0.200	3	39	N
103	hsa-miR-183*-4395381	26.942	0.200	3	20	N
104	hsa-miR-192*-4395383	30.175	0.200	3	23	N
105	hsa-miR-200b*-4395385	29.338	0.200	3	21	N
106	hsa-miR-200c*-4395397	Undetermined	0.200	3	39	N
107	RNU44-4373384	Undetermined	0.200	3	39	N
108	RNU44-4373384	Undetermined	0.200	3	39	N
109	hsa-miR-155*-4395398	34.809	0.200	3	27	N
110	hsa-miR-10a*-4395399	34.601	0.200	3	25	N
111	hsa-miR-214*-4395404	34.410	0.200	3	26	N
112	hsa-miR-218-2*-4395405	31.151	0.200	3	25	N
113	hsa-miR-22*-4395412	33.594	0.200	3	24	N
114	hsa-miR-425*-4395413	31.160	0.200	3	24	N
115	hsa-miR-30d*-4395416	28.290	0.200	3	21	N
116	hsa-let-7a*-4395418	Undetermined	0.200	3	39	N
117	hsa-miR-424*-4395420	36.676	0.200	3	25	N
118	hsa-miR-18b*-4395421	39.497	0.200	3	27	N
119	hsa-miR-20b*-4395422	38.446	0.200	3	28	N
120	hsa-miR-431*-4395423	Undetermined	0.200	3	39	Y
121	hsa-miR-7-2*-4395425	28.689	0.200	3	21	N
122	hsa-miR-10b*-4395426	26.763	0.200	3	20	N
123	hsa-miR-34a*-4395427	26.092	0.200	3	20	N
124	hsa-miR-181a-2*-4395428	26.937	0.200	3	21	N
125	hsa-miR-744*-4395436	31.636	0.200	3	23	N
126	hsa-miR-452*-4395441	29.875	0.200	3	24	N
127	hsa-miR-181c*-4395444	Undetermined	0.200	3	27	N
128	hsa-miR-708*-4395453	Undetermined	0.200	3	39	Y
129	hsa-miR-92b*-4395454	Undetermined	0.200	3	39	N
130	hsa-miR-551b*-4395457	27.377	0.200	3	21	N
131	RNU44-4373384	Undetermined	0.200	3	39	N
132	RNU44-4373384	Undetermined	0.200	3	39	N
133	hsa-miR-202*-4395473	37.411	0.200	3	29	N
134	hsa-miR-193b*-4395477	Undetermined	0.200	3	26	N
135	hsa-miR-497*-4395479	Undetermined	0.200	3	39	N
136	hsa-miR-518e*-4395482	36.503	0.200	3	29	N
137	hsa-miR-125b-1*-4395489	34.356	0.200	3	23	N
138	hsa-miR-194*-4395490	Undetermined	0.200	3	39	N
139	hsa-miR-106b*-4395491	Undetermined	0.200	3	39	N
140	hsa-miR-302a*-4395492	30.579	0.200	3	23	N
141	hsa-miR-526b*-4395494	27.681	0.200	3	20	N
142	hsa-miR-518f*-4395498	Undetermined	0.200	3	39	Y
143	hsa-miR-374b*-4395502	Undetermined	0.200	3	39	N
144	hsa-let-7b*-4395515	Undetermined	0.200	3	39	N
145	hsa-let-7e*-4395518	36.855	0.200	3	30	N
146	hsa-let-7f-1*-4395528	37.153	0.200	3	26	N
147	hsa-let-7f-2*-4395529	Undetermined	0.200	3	39	N
148	hsa-miR-15a*-4395530	30.494	0.200	3	23	N
149	hsa-miR-16-1*-4395531	32.401	0.200	3	23	N
150	hsa-miR-17*-4395532	36.830	0.200	3	28	N
151	hsa-miR-18a*-4395534	Undetermined	0.200	3	31	N
152	hsa-miR-19a*-4395535	33.929	0.200	3	24	N
153	hsa-miR-19b-1*-4395536	34.660	0.200	3	26	N
154	hsa-miR-19b-2*-4395537	Undetermined	0.200	3	39	Y
155	RNU24-4373379	Undetermined	0.200	3	39	Y
156	RNU24-4373379	Undetermined	0.200	3	39	Y
157	hsa-miR-625*-4395543	32.405	0.200	3	22	N
158	hsa-miR-20a*-4395548	33.309	0.200	3	24	N
159	hsa-miR-21*-4395549	Undetermined	0.200	3	27	N
160	hsa-miR-23a*-4395550	31.948	0.200	3	25	N
161	hsa-miR-24-1*-4395551	Undetermined	0.200	3	39	N
162	hsa-miR-25*-4395553	32.045	0.200	3	23	N
163	hsa-miR-26a-1*-4395554	35.899	0.200	3	26	N
164	hsa-miR-26b*-4395555	34.217	0.200	3	26	N
165	hsa-miR-27a*-4395556	27.126	0.200	3	20	N
166	hsa-miR-29a*-4395558	33.076	0.200	3	24	N
167	hsa-miR-944-4395300	30.577	0.200	3	23	N
168	hsa-miR-943-4395299	31.458	0.200	3	21	N
169	hsa-miR-942-4395298	26.954	0.200	3	20	N
170	hsa-miR-941-4395294	Undetermined	0.200	3	29	N
171	hsa-miR-939-4395293	Undetermined	0.200	3	27	N
172	hsa-miR-938-4395292	33.061	0.200	3	26	N
173	hsa-miR-937-4395291	37.442	0.200	3	28	N
174	hsa-miR-936-4395290	28.981	0.200	3	22	N
175	hsa-miR-892b-4395325	Undetermined	0.200	3	31	N
176	hsa-miR-877-4395402	24.365	0.200	3	16	N
177	hsa-miR-875-5p-4395314	39.652	0.200	3	29	N
178	hsa-miR-770-5p-4395189	36.204	0.200	3	22	N
179	RNU24-4373379	Undetermined	0.200	3	39	Y
180	RNU24-4373379	Undetermined	0.200	3	39	Y
181	hsa-miR-760-4395439	Undetermined	0.200	3	31	N
182	hsa-miR-661-4381009	39.646	0.200	3	26	N
183	hsa-miR-659-4380924	Undetermined	0.200	3	28	N
184	hsa-miR-643-4380997	Undetermined	0.200	3	29	N
185	hsa-miR-638-4380986	30.432	0.200	3	23	N
186	hsa-miR-632-4380977	29.148	0.200	3	22	N
187	hsa-miR-630-4380970	31.542	0.200	3	24	N
188	hsa-miR-619-4380998	Undetermined	0.200	3	39	Y
189	hsa-miR-617-4380994	33.053	0.200	3	24	N
190	hsa-miR-612-4380983	Undetermined	0.200	3	39	Y
191	hsa-miR-610-4380980	26.585	0.200	3	20	N
192	hsa-miR-603-4380972	Undetermined	0.200	3	39	Y
193	hsa-miR-601-4380965	24.307	0.200	3	15	N
194	hsa-miR-595-4395178	Undetermined	0.200	3	39	N
195	hsa-miR-593-4395522	Undetermined	0.200	3	39	Y
196	hsa-miR-592-4380956	38.611	0.200	3	27	N
197	hsa-miR-587-4380950	30.944	0.200	3	23	N
198	hsa-miR-586-4380949	Undetermined	0.200	3	28	N
199	hsa-miR-585-4381027	Undetermined	0.200	3	39	N
200	hsa-miR-583-4381025	Undetermined	0.200	3	39	N
201	hsa-miR-575-4381020	Undetermined	0.200	3	39	N
202	hsa-miR-573-4381018	26.262	0.200	3	11	N
203	RNU43-4373375	Undetermined	0.200	3	39	Y
204	RNU43-4373375	Undetermined	0.200	3	39	N
205	RNU6B-4373381	Undetermined	0.200	3	39	Y
206	RNU6B-4373381	Undetermined	0.200	3	39	N
207	hsa-miR-569-4380946	29.874	0.200	3	24	N
208	hsa-miR-567-4380944	Undetermined	0.200	3	39	N
209	hsa-miR-565-4380942	Undetermined	0.200	3	39	N
210	hsa-miR-564-4380941	27.881	0.200	3	20	N
