* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-11 PP09094A.eds
* Experiment Name = 2012-06-11 PP09094A
* Experiment Run End Time = 2012-06-11 13:45:56 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	31.305	31.305	N	N
2	hsa-let-7c-4373167	22.304	22.304	N	N
3	hsa-let-7d-4395394	23.117	23.117	N	N
4	hsa-let-7e-4395517	24.716	24.716	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y
6	hsa-let-7g-4395393	22.246	22.246	N	N
7	hsa-miR-1-4395333	31.561	31.561	N	N
8	hsa-miR-9-4373285	39.826	39.826	N	N
9	hsa-miR-10a-4373153	26.110	26.110	N	N
10	hsa-miR-10b-4395329	35.537	35.537	N	N
11	MammU6-4395470	26.809	26.680	N	N
12	MammU6-4395470	26.687	26.680	N	N
13	hsa-miR-15a-4373123	27.577	27.577	N	N
14	hsa-miR-15b-4373122	20.045	20.045	N	N
15	hsa-miR-16-4373121	16.088	16.088	N	N
16	hsa-miR-17-4395419	15.053	15.053	N	N
17	hsa-miR-18a-4395533	22.796	22.796	N	N
18	hsa-miR-18b-4395328	33.563	33.563	N	N
19	hsa-miR-19a-4373099	19.605	19.605	N	N
20	hsa-miR-19b-4373098	13.844	13.844	N	N
21	hsa-miR-20a-4373286	16.285	16.285	N	N
22	hsa-miR-20b-4373263	20.248	20.248	N	N
23	hsa-miR-21-4373090	17.681	17.681	N	N
