* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-20 PP09084 A.eds
* Experiment Name = 2012-06-20 PP09084 A
* Experiment Run End Time = 2012-06-20 16:12:28 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	22.685	22.685	N	N	N	N
2	hsa-let-7c-4373167	23.265	23.265	N	N	N	N
3	hsa-let-7d-4395394	23.105	23.105	N	N	N	N
4	hsa-let-7e-4395517	19.800	19.800	Y	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	Y	Y
6	hsa-let-7g-4395393	21.708	21.708	N	N	N	N
7	hsa-miR-1-4395333	24.672	24.672	N	N	N	N
8	hsa-miR-9-4373285	30.200	30.200	N	N	N	Y
9	hsa-miR-10a-4373153	25.251	25.251	N	N	N	N
10	hsa-miR-10b-4395329	33.993	33.993	N	N	N	N
11	MammU6-4395470	26.094	25.792	N	N	N	N
12	MammU6-4395470	25.763	25.792	N	N	N	N
13	hsa-miR-15a-4373123	23.573	23.573	N	N	N	N
14	hsa-miR-15b-4373122	19.559	19.559	N	N	N	N
15	hsa-miR-16-4373121	15.104	15.104	N	N	N	N
16	hsa-miR-17-4395419	15.440	15.440	N	N	N	N
17	hsa-miR-18a-4395533	22.138	22.138	N	N	N	N
18	hsa-miR-18b-4395328	24.077	24.077	N	N	N	Y
19	hsa-miR-19a-4373099	18.670	18.670	N	N	N	N
20	hsa-miR-19b-4373098	13.180	13.180	N	N	N	N
21	hsa-miR-20a-4373286	15.820	15.820	N	N	N	N
22	hsa-miR-20b-4373263	21.214	21.214	N	N	N	N
