* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-07 PP09073 B.eds
* Experiment Name = 2012-06-07 PP09073 B
* Experiment Run End Time = 2012-06-07 19:07:54 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	32.334	32.334	N	N	N	N
2	hsa-miR-548I-002909	Undetermined		N	Y	Y	Y
3	hsa-miR-30a-3p-000416	25.749	25.749	N	N	N	N
4	hsa-miR-30a-5p-000417	18.842	18.842	N	N	N	N
5	hsa-miR-30d-000420	21.174	21.174	N	N	N	N
6	hsa-miR-30e-3p-000422	23.875	23.875	N	N	N	N
7	hsa-miR-34b-000427	33.848	33.848	Y	N	N	Y
8	hsa-miR-126#-000451	22.910	22.910	N	N	N	N
9	hsa-miR-154#-000478	Undetermined		N	Y	Y	Y
10	hsa-miR-182#-000483	Undetermined		N	Y	Y	Y
11	U6 snRNA-001973	22.556	22.723	N	N	N	N
12	U6 snRNA-001973	22.344	22.723	N	N	N	N
13	hsa-miR-206-000510	28.341	28.341	N	N	N	N
14	hsa-miR-213-000516	29.364	29.364	N	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	Y	Y	Y
17	hsa-miR-378-000567	34.776	34.776	N	N	N	N
18	hsa-miR-380-5p-000570	33.702	33.702	N	N	N	N
19	hsa-miR-1257-002910	Undetermined		N	Y	Y	Y
20	hsa-miR-200a#-001011	Undetermined		N	N	Y	Y
21	hsa-miR-432-001026	23.980	23.980	N	N	N	N
22	hsa-miR-432#-001027	Undetermined		N	N	Y	Y
23	hsa-miR-497-001043	29.086	29.086	N	N	N	N
24	hsa-miR-500-001046	28.892	28.892	N	N	N	N
25	hsa-miR-1238-002927	Undetermined		N	Y	Y	Y
26	hsa-miR-488-001106	Undetermined		N	Y	Y	Y
27	hsa-miR-517#-001113	Undetermined		N	Y	Y	Y
28	hsa-miR-516-3p-001149	34.710	34.710	N	N	N	Y
29	hsa-miR-518c#-001158	Undetermined		N	N	Y	Y
30	hsa-miR-519e#-001166	Undetermined		N	Y	Y	Y
31	hsa-miR-520h-001170	Undetermined		N	N	Y	Y
32	hsa-miR-524-001173	Undetermined		N	N	Y	Y
33	mmu-let-7d#-001178	26.347	26.347	N	N	N	Y
34	hsa-miR-363#-001283	Undetermined		N	Y	Y	Y
35	U6 snRNA-001973	23.182	22.723	N	N	N	N
36	U6 snRNA-001973	22.812	22.723	N	N	N	N
37	rno-miR-7#-001338	24.858	24.858	N	N	N	N
38	hsa-miR-656-001510	Undetermined		N	N	Y	Y
39	hsa-miR-549-001511	Undetermined		N	N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	N	Y	Y
41	hsa-miR-658-001513	Undetermined		N	Y	Y	Y
42	hsa-miR-659-001514	Undetermined		N	N	Y	Y
43	hsa-miR-551a-001519	Undetermined		N	Y	Y	Y
44	hsa-miR-552-001520	Undetermined		N	Y	Y	Y
45	hsa-miR-553-001521	Undetermined		N	Y	Y	Y
46	hsa-miR-554-001522	Undetermined		N	Y	Y	Y
47	hsa-miR-555-001523	Undetermined		N	Y	Y	Y
48	hsa-miR-557-001525	Undetermined		N	Y	Y	Y
49	hsa-miR-558-001526	Undetermined		N	Y	Y	Y
50	hsa-miR-559-001527	Undetermined		N	N	Y	Y
51	hsa-miR-562-001529	Undetermined		N	Y	Y	Y
52	hsa-miR-563-001530	Undetermined		N	Y	Y	Y
53	hsa-miR-564-001531	Undetermined		N	N	Y	Y
54	hsa-miR-566-001533	Undetermined		N	Y	Y	Y
55	hsa-miR-567-001534	Undetermined		N	N	Y	Y
56	hsa-miR-569-001536	Undetermined		N	N	Y	Y
57	hsa-miR-586-001539	Undetermined		N	N	Y	Y
58	hsa-miR-587-001540	Undetermined		N	N	Y	Y
59	RNU44-001094	Undetermined		N	N	Y	Y
60	hsa-miR-588-001542	Undetermined		N	Y	Y	Y
61	hsa-miR-589-001543	30.406	30.406	N	N	N	Y
62	hsa-miR-550-001544	33.019	33.019	N	N	N	Y
63	hsa-miR-591-001545	Undetermined		N	N	Y	Y
64	hsa-miR-592-001546	Undetermined		N	N	Y	Y
65	hsa-miR-593-001547	Undetermined		N	Y	Y	Y
